BLOCK,LOT,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,SALE PRICE
392,6,5,0,5,1633,6440,1900,2,6625000
399,26,28,3,31,4616,18690,1900,2, -  
399,39,16,1,17,2212,7803,1900,2, -  
402,21,10,0,10,2272,6794,1913,2,3936272
404,55,6,0,6,2369,4615,1900,2,8000000
405,16,20,0,20,2581,9730,1900,2, -  
406,32,8,0,8,1750,4226,1920,2,3192840
407,18,44,2,46,5163,21007,1900,2, -  
379,34,15,0,15,1534,9198,1920,2, -  
387,153,24,0,24,4489,18523,1920,2,16232000
394,44,30,4,34,4295,21328,1910,2, -  
400,21,10,0,10,3717,12350,2009,2,10350000
373,40,0,0,0, -  , -  ,1920,2,1
373,40,0,0,0, -  , -  ,1920,2,499000
373,40,0,0,0, -  , -  ,1920,2,10
373,40,0,0,0, -  , -  ,1920,2,529500
373,40,0,0,0, -  , -  ,1920,2,423000
373,46,0,0,0, -  , -  ,1925,2,501000
373,49,0,0,0, -  , -  ,1920,2,450000
373,49,0,0,0, -  , -  ,1920,2,510000
374,8,0,0,0, -  , -  ,1900,2, -  
375,30,0,0,0, -  , -  ,1902,2,350000
376,14,24,0,24,4131,16776,1928,2,11900000
376,14,0,0,0, -  , -  ,1928,2,11900000
376,16,0,0,0, -  , -  ,1928,2,350000
376,16,0,0,0, -  , -  ,1928,2,404000
376,19,0,0,0, -  , -  ,1910,2,535000
377,54,0,0,0, -  , -  ,1920,2,1400000
377,60,0,0,0, -  , -  ,1900,2,866000
379,15,0,0,0, -  , -  ,1930,2,355000
379,15,0,0,0, -  , -  ,1930,2, -  
389,21,0,0,0, -  , -  ,1900,2,805000
389,49,0,0,0, -  , -  ,1910,2,475000
389,50,0,0,0, -  , -  ,1920,2,450000
389,50,0,0,0, -  , -  ,1920,2,450000
390,55,0,0,0, -  , -  ,1935,2,810000
391,14,0,0,0, -  , -  ,1910,2, -  
391,14,0,0,0, -  , -  ,1910,2,300000
391,14,0,0,0, -  , -  ,1910,2,300000
391,48,0,0,0, -  , -  ,1910,2,579000
391,57,0,0,0, -  , -  ,1900,2,1500000
393,39,0,0,0, -  , -  ,1900,2,25000
394,52,0,0,0, -  , -  ,1937,2,512000
394,52,0,0,0, -  , -  ,1937,2,410000
394,52,0,0,0, -  , -  ,1937,2,500000
394,52,0,0,0, -  , -  ,1937,2,510000
396,20,0,0,0, -  , -  ,1920,2,475000
396,20,0,0,0, -  , -  ,1920,2,789019
396,20,0,0,0, -  , -  ,1920,2, -  
396,20,0,0,0, -  , -  ,1920,2, -  
396,20,0,0,0, -  , -  ,1920,2,425000
396,20,0,0,0, -  , -  ,1920,2,490000
397,25,0,0,0, -  , -  ,1915,2,409000
397,25,0,0,0, -  , -  ,1915,2,415000
398,58,0,0,0, -  , -  ,1950,2,420000
398,58,0,0,0, -  , -  ,1950,2,435000
400,45,0,0,0, -  , -  ,1937,2,575000
400,45,0,0,0, -  , -  ,1937,2,605000
401,12,0,0,0, -  , -  ,1900,2,799000
401,12,0,0,0, -  , -  ,1900,2,800000
401,50,0,0,0, -  , -  ,1900,2,54993
401,57,0,0,0, -  , -  ,1929,2,410000
402,47,0,0,0, -  , -  ,1900,2,1475000
404,10,0,0,0, -  , -  ,1929,2,335000
404,21,0,0,0, -  , -  ,1920,2,490000
404,26,0,0,0, -  , -  ,1928,2,750000
404,27,0,0,0, -  , -  ,1900,2,780000
404,57,0,0,0, -  , -  ,1925,2,2400000
405,51,0,0,0, -  , -  ,1910,2,380000
406,50,0,0,0, -  , -  ,1901,2,430000
379,45,0,0,0, -  , -  ,1920,2,499900
386,36,0,0,0, -  , -  ,1940,2,1400000
386,58,0,0,0, -  , -  ,1900,2,694000
385,1102,47,0,47, -  ,36472,2005,2,28000000
394,1602,0,0,0, -  , -  ,0,2,8058923
397,1301,132,0,132,33650, -  ,1989,2,52625000
386,1002,1,0,1, -  , -  ,0,2,620000
398,1039,1,0,1, -  , -  ,0,2, -  
405,1211,1,0,1, -  , -  ,0,2, -  
373,1003,1,0,1, -  , -  ,1920,2,762669
373,1004,1,0,1, -  , -  ,1920,2,772851
373,1005,1,0,1, -  , -  ,1920,2,1034880
373,1006,1,0,1, -  , -  ,1920,2, -  
373,1007,1,0,1, -  , -  ,1920,2, -  
373,1008,1,0,1, -  , -  ,1920,2, -  
373,1009,1,0,1, -  , -  ,1920,2,800000
373,1011,1,0,1, -  , -  ,1920,2,2295759
375,1004,1,0,1, -  , -  ,0,2,875000
378,1001,1,0,1, -  , -  ,2014,2, -  
378,1002,1,0,1, -  , -  ,2014,2, -  
378,1003,1,0,1, -  , -  ,2014,2, -  
378,1004,1,0,1, -  , -  ,2014,2, -  
378,1005,1,0,1, -  , -  ,2014,2, -  
